Brand,Model,Series,Processor,Processor_Gen,RAM,Hard_Disk_Capacity,Operacional System,Rating,Price
DELL,Inspiron,,i3,11th,8.0,1 TB HDD,Windows 11 Home,3.7,39040
DELL,Vostro,,i5,11th,8.0,1 TB HDD,Windows 10 Home,3.6,50840
ASUS,VivoBook,15,i3,10th,8.0,512 GB SSD,Windows 11 Home,4.3,37940
DELL,Inspiron,,i3,11th,8.0,1 TB HDD,256 GB SSD,4.4,44440
ASUS,TUF,Gaming,i5,10th,8.0,512 GB SSD,Windows 10 Home,4.5,57940
ASUS,Ryzen,3,3250U,3rd,8.0,256 GB SSD,Windows 10 Home,4.3,35940
DELL,Inspiron,Athlon,3050U,-,4.0,256 GB SSD,Windows 11 Home,4.2,33940
DELL,Inspiron,,i5,11th,16.0,512 GB SSD,Windows 10,4.2,69040
Lenovo,IdeaPad,3,i3,10th,8.0,1 TB HDD,Windows 10 Home,4.1,37440
HP,,,i5,11th,8.0,512 GB SSD,Windows 11 Home,4.4,56449
HP,,,i3,11th,8.0,512 GB SSD,Windows 11 Home,4.3,42440
Lenovo,IdeaPad,3,i3,11th,8.0,256 GB SSD,Windows 11 Home,4.2,40940
Lenovo,IdeaPad,3,i3,10th,8.0,256 GB SSD,Windows 11 Home,4.3,37940
DELL,Inspiron,Ryzen,3250U,-,8.0,256 GB SSD,Windows 11 Home,4.3,37340
HP,Ryzen,3,3250U,-,8.0,256 GB SSD,Windows 10 Home,4.3,38940
Lenovo,IdeaPad,3,i3,11th,8.0,256 GB SSD,Windows 11 Home,4.3,40940
acer,Aspire,7,i5,10th,8.0,512 GB SSD,Windows 10 Home,4.4,52940
Lenovo,,,i3,10th,8.0,512 GB SSD,Windows 11 Home,4.3,62140
ASUS,VivoBook,Ultra,i3,11th,8.0,512 GB SSD,Windows 11 Home,4.8,42940
Lenovo,Thinkpad,Ryzen,5600U,-,8.0,512 GB SSD,DOS,4.1,57440
ASUS,,,i3,11th,8.0,256 GB SSD,Windows 11 Home,4.4,38940
HP,,,i3,10th,8.0,512 GB SSD,Windows 10 Home,4.3,42340
ASUS,Vivobook,14,i3,11th,8.0,256 GB SSD,Windows 10 Home,4.3,37840
ASUS,VivoBook,15,-,(4,4.0,256 GB SSD,Windows 10 Home,4.3,34940
Lenovo,IdeaPad,3,5500U,-,8.0,512 GB SSD,Windows 11 Home,4.4,49940
DELL,Inspiron,,i3,11th,8.0,1 TB HDD,Windows 11 Home,3.7,39040
ASUS,VivoBook,15,i7,10th,16.0,512 GB SSD,Windows 11 Home,4.1,57940
HP,Ryzen,3,5300U,-,8.0,512 GB SSD,Windows 11 Home,4.2,42740
ASUS,VivoBook,15,i3,11th,4.0,256 GB SSD,Windows 10 Home,4.2,36940
Lenovo,IdeaPad,3,i3,11th,8.0,256 GB SSD,Windows 11 Home,4.3,39940
ASUS,VivoBook,15,i3,10th,4.0,512 GB SSD,Windows 11 Home,4.2,35940
Lenovo,,,i3,10th,8.0,512 GB SSD,Windows 11 Home,4.3,62140
DELL,Vostro,,i3,11th,8.0,256 GB SSD,Windows 10,4.3,41740
DELL,Vostro,,i5,11th,8.0,1 TB HDD,Windows 10 Home,3.6,50840
Lenovo,Ideapad,Slim,i5,11th,16.0,512 GB SSD,Windows 10 Home,4.4,59940
DELL,Inspiron,,i3,11th,8.0,512 GB SSD,Windows 11 Home,4.4,45540
DELL,Inspiron,,i3,11th,8.0,256 GB SSD,Windows 11 Home,4.3,41540
Lenovo,Ideapad,Slim,i5,11th,8.0,512 GB SSD,Windows 10 Home,4.2,56449
ASUS,VivoBook,15,i5,11th,8.0,1 TB HDD,256 GB SSD,4.3,52940
DELL,Inspiron,,i5,11th,8.0,512 GB SSD,Windows 11 Home,4.4,59150
Lenovo,,,i3,11th,4.0,256 GB SSD,Windows 10 Home,4.3,36940
DELL,Inspiron,,i5,11th,16.0,512 GB SSD,Windows 10,4.2,69040
HP,,,i3,11th,8.0,512 GB SSD,Windows 10,4.0,40940
HP,Pavilion,Ryzen,5600H,-,8.0,512 GB SSD,Windows 11 Home,4.5,59940
DELL,Inspiron,Ryzen,3450U,-,8.0,512 GB SSD,Windows 11 Home,4.3,49940
APPLE,2020,Macbook,,,,,,4.7,84940
DELL,Vostro,3405,3450U,-,8.0,256 GB SSD,Windows 10 Home,4.2,44440
MSI,GF63,Thin,i5,10th,8.0,512 GB SSD,Windows 10 Home,4.5,65940
DELL,Inspiron,,i3,11th,8.0,1 TB HDD,Windows 11 Home,3.7,39040
DELL,Inspiron,,i3,11th,8.0,1 TB HDD,256 GB SSD,4.4,45340
DELL,Vostro,,i3,10th,8.0,256 GB SSD,Windows 10 Home,4.3,41440
HP,,,i5,11th,8.0,512 GB SSD,Windows 11 Home,4.1,55940
DELL,Inspiron,,i3,11th,8.0,1 TB HDD,Windows 11 Home,3.7,39040
ASUS,Vivobook,Gaming,i7,10th,8.0,512 GB SSD,Windows 10 Home,3.7,61940
ASUS,ROG,Zephyrus,4800HS,-,8.0,1 TB SSD,Windows 10 Home,4.6,72940
DELL,Inspiron,,i3,11th,8.0,1 TB HDD,Windows 10,4.0,42540
DELL,Vostro,,i5,11th,8.0,1 TB HDD,Windows 10 Home,3.6,50840
Lenovo,IdeaPad,3,i5,10th,8.0,512 GB SSD,Windows 10 Home,4.3,50940
ASUS,VivoBook,K15,i3,11th,8.0,256 GB SSD,Windows 11 Home,4.5,46940
acer,Nitro,Ryzen,5600H,-,8.0,1 TB HDD,256 GB SSD,4.5,72940
Lenovo,IdeaPad,3,i5,11th,8.0,512 GB SSD,Windows 10 Home,4.2,56940
ASUS,ASUS,TUF,i5,11th,8.0,512 GB SSD,Windows 10 Home,4.5,71940
HP,HP,Pavilion,4600H,-,8.0,512 GB SSD,Windows 10 Home,4.4,59940
HP,Pavilion,Gaming,4800H,-,16.0,1 TB HDD,256 GB SSD,4.5,75940
Lenovo,IdeaPad,3,i3,11th,8.0,256 GB SSD,Windows 11 Home,4.2,40940
ASUS,VivoBook,K15,i5,11th,16.0,1 TB HDD,256 GB SSD,4.7,66940
ASUS,TUF,Gaming,i5,11th,16.0,512 GB SSD,Windows 10 Home,4.6,89940
realme,Book,(Slim),i3,11th,8.0,256 GB SSD,Windows 10 Home,4.4,46940
MSI,Katana,GF66,i5,11th,16.0,512 GB SSD,Windows 10 Home,4.4,76940
DELL,Inspiron,,i3,11th,8.0,1 TB HDD,Windows 11 Home,3.7,39040
DELL,Vostro,Ryzen,R3-3250U,-,,,,3.9,37340
ASUS,VivoBook,K15,i5,11th,16.0,1 TB HDD,256 GB SSD,4.3,65940
Lenovo,Ideapad,Gaming,5600H,-,8.0,512 GB SSD,Windows 11 Home,4.5,60440
Lenovo,IdeaPad,3,i3,11th,8.0,256 GB SSD,Windows 11 Home,4.3,39940
DELL,,,i7,11th,16.0,512 GB SSD,Windows 11 Home,4.4,88940
APPLE,MacBook,Air,,,,,,4.5,119940
ASUS,Vivobook,14,i3,10th,8.0,1 TB HDD,Windows 10 Home,4.2,34940
Lenovo,Ideapad,Slim,i5,11th,16.0,512 GB SSD,Windows 10 Home,4.4,59940
Lenovo,IdeaPad,Flex,i3,11th,8.0,512 GB SSD,Windows 10 Home,4.5,55940
HP,Ryzen,5,-,(8,8.0,512 GB SSD,Windows 11 Home,4.6,48940
DELL,Inspiron,Ryzen,3450U,-,8.0,1 TB HDD,256 GB SSD,3.9,49240
APPLE,MacBook,Air,,,,,,4.5,105940
DELL,Inspiron,,i3,11th,8.0,1 TB HDD,Windows 11 Home,3.7,39040
DELL,Inspiron,,i5,11th,16.0,512 GB SSD,Windows 10,4.4,67740
ASUS,VivoBook,15,i3,10th,4.0,1 TB HDD,Windows 10 Home,3.7,31940
HP,Notebook,PC,i3,11th,8.0,1 TB HDD,Windows 10,3.9,40940
DELL,Inspiron,,i3,11th,8.0,1 TB HDD,Windows 11 Home,3.7,39040
APPLE,2020,Macbook,,,,,,4.7,110940
APPLE,2020,Macbook,,,,,,4.6,129990
ASUS,Chromebook,Celeron,-,(4,4.0,64 GB EMMC Storage,Chrome OS,4.2,23490
APPLE,2020,Macbook,,,,,,4.6,129990
DELL,Inspiron,,i3,11th,8.0,1 TB HDD,Windows 11 Home,3.7,39090
DELL,Vostro,,i3,11th,4.0,1 TB HDD,256 GB SSD,4.1,43126
Lenovo,IdeaPad,5,i5,11th,16.0,512 GB SSD,Windows 10 Home,4.6,70940
ASUS,,,i3,10th,4.0,1 TB HDD,Windows 10 Home,3.7,34440
DELL,Inspiron,,i3,11th,8.0,1 TB HDD,256 GB SSD,4.1,48940
ASUS,Ryzen,5,5500U,-,8.0,512 GB SSD,Windows 10 Home,4.5,49940
HP,Pavilion,Gaming,i7,11th,16.0,512 GB SSD,Windows 10 Home,4.4,98140
MSI,,,i3,11th,8.0,512 GB SSD,Windows 10 Home,4.4,48740
DELL,Vostro,,i5,11th,8.0,1 TB HDD,Windows 10 Home,3.6,50840
Lenovo,IdeaPad,Slim,i3,11th,8.0,512 GB SSD,Windows 10 Home,4.4,45440
DELL,Vostro,,i3,10th,8.0,512 GB SSD,Windows 10,3.9,43040
MICROSOFT,Surface,Laptop,i5,8th,8.0,128 GB SSD,Windows 10 Home,4.5,91949
ASUS,ROG,Strix,i5,10th,8.0,512 GB SSD,Windows 10 Home,4.6,75940
ASUS,Vivobook,14,-,(8,8.0,256 GB SSD,Windows 11 Home,4.3,32940
